profit_zone_role,product_id,profit_type,basis,rate,fixed_amount
OUTBOUND_CHANNEL_PROFIT,Apparel_Outsourced_S1,channel_margin,market_price,0.35,0
MOM_PLANT_PROFIT,Apparel_Outsourced_S1,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Apparel_Outsourced_S1,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Outsourced_S2,channel_margin,market_price,0.35,0
MOM_PLANT_PROFIT,Apparel_Outsourced_S2,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Apparel_Outsourced_S2,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Outsourced_S3,channel_margin,market_price,0.35,0
MOM_PLANT_PROFIT,Apparel_Outsourced_S3,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Apparel_Outsourced_S3,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Outsourced_S4,channel_margin,market_price,0.35,0
MOM_PLANT_PROFIT,Apparel_Outsourced_S4,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Apparel_Outsourced_S4,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Outsourced_S5,channel_margin,market_price,0.35,0
MOM_PLANT_PROFIT,Apparel_Outsourced_S5,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Apparel_Outsourced_S5,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Outsourced_S6,channel_margin,market_price,0.35,0
MOM_PLANT_PROFIT,Apparel_Outsourced_S6,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Apparel_Outsourced_S6,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Outsourced_S7,channel_margin,market_price,0.35,0
MOM_PLANT_PROFIT,Apparel_Outsourced_S7,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Apparel_Outsourced_S7,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Outsourced_S8,channel_margin,market_price,0.35,0
MOM_PLANT_PROFIT,Apparel_Outsourced_S8,mom_margin,transfer_price,0.08,0
SUPPLIER_COST_BASE,Apparel_Outsourced_S8,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Integrated_S1,channel_margin,market_price,0.4,0
MOM_PLANT_PROFIT,Apparel_Integrated_S1,mom_margin,transfer_price,0.1,0
SUPPLIER_COST_BASE,Apparel_Integrated_S1,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Integrated_S2,channel_margin,market_price,0.4,0
MOM_PLANT_PROFIT,Apparel_Integrated_S2,mom_margin,transfer_price,0.1,0
SUPPLIER_COST_BASE,Apparel_Integrated_S2,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Integrated_S3,channel_margin,market_price,0.4,0
MOM_PLANT_PROFIT,Apparel_Integrated_S3,mom_margin,transfer_price,0.1,0
SUPPLIER_COST_BASE,Apparel_Integrated_S3,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Integrated_S4,channel_margin,market_price,0.4,0
MOM_PLANT_PROFIT,Apparel_Integrated_S4,mom_margin,transfer_price,0.1,0
SUPPLIER_COST_BASE,Apparel_Integrated_S4,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Integrated_S5,channel_margin,market_price,0.4,0
MOM_PLANT_PROFIT,Apparel_Integrated_S5,mom_margin,transfer_price,0.1,0
SUPPLIER_COST_BASE,Apparel_Integrated_S5,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Integrated_S6,channel_margin,market_price,0.4,0
MOM_PLANT_PROFIT,Apparel_Integrated_S6,mom_margin,transfer_price,0.1,0
SUPPLIER_COST_BASE,Apparel_Integrated_S6,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Integrated_S7,channel_margin,market_price,0.4,0
MOM_PLANT_PROFIT,Apparel_Integrated_S7,mom_margin,transfer_price,0.1,0
SUPPLIER_COST_BASE,Apparel_Integrated_S7,supplier_cost,transfer_price,1.0,0
OUTBOUND_CHANNEL_PROFIT,Apparel_Integrated_S8,channel_margin,market_price,0.4,0
MOM_PLANT_PROFIT,Apparel_Integrated_S8,mom_margin,transfer_price,0.1,0
SUPPLIER_COST_BASE,Apparel_Integrated_S8,supplier_cost,transfer_price,1.0,0
