sku_id,leaf_node_name,mom_node_id,priority
Apparel_Import_S1,Sales_US_TX_I,IN:mom:Factory_Import_CN:Apparel_Import_S1,1
Apparel_Import_S1,Sales_US_CA_I,IN:mom:Factory_Import_CN:Apparel_Import_S1,1
Apparel_Import_S1,Sales_US_NY_I,IN:mom:Factory_Import_CN:Apparel_Import_S1,1
Apparel_Import_S2,Sales_US_TX_I,IN:mom:Factory_Import_CN:Apparel_Import_S2,1
Apparel_Import_S2,Sales_US_CA_I,IN:mom:Factory_Import_CN:Apparel_Import_S2,1
Apparel_Import_S2,Sales_US_NY_I,IN:mom:Factory_Import_CN:Apparel_Import_S2,1
Apparel_Import_S3,Sales_US_TX_I,IN:mom:Factory_Import_CN:Apparel_Import_S3,1
Apparel_Import_S3,Sales_US_CA_I,IN:mom:Factory_Import_CN:Apparel_Import_S3,1
Apparel_Import_S3,Sales_US_NY_I,IN:mom:Factory_Import_CN:Apparel_Import_S3,1
Apparel_Import_S4,Sales_US_TX_I,IN:mom:Factory_Import_CN:Apparel_Import_S4,1
Apparel_Import_S4,Sales_US_CA_I,IN:mom:Factory_Import_CN:Apparel_Import_S4,1
Apparel_Import_S4,Sales_US_NY_I,IN:mom:Factory_Import_CN:Apparel_Import_S4,1
Apparel_Import_S5,Sales_US_TX_I,IN:mom:Factory_Import_CN:Apparel_Import_S5,1
Apparel_Import_S5,Sales_US_CA_I,IN:mom:Factory_Import_CN:Apparel_Import_S5,1
Apparel_Import_S5,Sales_US_NY_I,IN:mom:Factory_Import_CN:Apparel_Import_S5,1
Apparel_Import_S6,Sales_US_TX_I,IN:mom:Factory_Import_CN:Apparel_Import_S6,1
Apparel_Import_S6,Sales_US_CA_I,IN:mom:Factory_Import_CN:Apparel_Import_S6,1
Apparel_Import_S6,Sales_US_NY_I,IN:mom:Factory_Import_CN:Apparel_Import_S6,1
Apparel_Import_S7,Sales_US_TX_I,IN:mom:Factory_Import_CN:Apparel_Import_S7,1
Apparel_Import_S7,Sales_US_CA_I,IN:mom:Factory_Import_CN:Apparel_Import_S7,1
Apparel_Import_S7,Sales_US_NY_I,IN:mom:Factory_Import_CN:Apparel_Import_S7,1
Apparel_Import_S8,Sales_US_TX_I,IN:mom:Factory_Import_CN:Apparel_Import_S8,1
Apparel_Import_S8,Sales_US_CA_I,IN:mom:Factory_Import_CN:Apparel_Import_S8,1
Apparel_Import_S8,Sales_US_NY_I,IN:mom:Factory_Import_CN:Apparel_Import_S8,1
Apparel_Local_S1,Sales_US_TX_L,IN:mom:Factory_Local_ES:Apparel_Local_S1,1
Apparel_Local_S1,Sales_US_CA_L,IN:mom:Factory_Local_ES:Apparel_Local_S1,1
Apparel_Local_S1,Sales_US_NY_L,IN:mom:Factory_Local_ES:Apparel_Local_S1,1
Apparel_Local_S2,Sales_US_TX_L,IN:mom:Factory_Local_ES:Apparel_Local_S2,1
Apparel_Local_S2,Sales_US_CA_L,IN:mom:Factory_Local_ES:Apparel_Local_S2,1
Apparel_Local_S2,Sales_US_NY_L,IN:mom:Factory_Local_ES:Apparel_Local_S2,1
Apparel_Local_S3,Sales_US_TX_L,IN:mom:Factory_Local_ES:Apparel_Local_S3,1
Apparel_Local_S3,Sales_US_CA_L,IN:mom:Factory_Local_ES:Apparel_Local_S3,1
Apparel_Local_S3,Sales_US_NY_L,IN:mom:Factory_Local_ES:Apparel_Local_S3,1
Apparel_Local_S4,Sales_US_TX_L,IN:mom:Factory_Local_ES:Apparel_Local_S4,1
Apparel_Local_S4,Sales_US_CA_L,IN:mom:Factory_Local_ES:Apparel_Local_S4,1
Apparel_Local_S4,Sales_US_NY_L,IN:mom:Factory_Local_ES:Apparel_Local_S4,1
Apparel_Local_S5,Sales_US_TX_L,IN:mom:Factory_Local_ES:Apparel_Local_S5,1
Apparel_Local_S5,Sales_US_CA_L,IN:mom:Factory_Local_ES:Apparel_Local_S5,1
Apparel_Local_S5,Sales_US_NY_L,IN:mom:Factory_Local_ES:Apparel_Local_S5,1
Apparel_Local_S6,Sales_US_TX_L,IN:mom:Factory_Local_ES:Apparel_Local_S6,1
Apparel_Local_S6,Sales_US_CA_L,IN:mom:Factory_Local_ES:Apparel_Local_S6,1
Apparel_Local_S6,Sales_US_NY_L,IN:mom:Factory_Local_ES:Apparel_Local_S6,1
Apparel_Local_S7,Sales_US_TX_L,IN:mom:Factory_Local_ES:Apparel_Local_S7,1
Apparel_Local_S7,Sales_US_CA_L,IN:mom:Factory_Local_ES:Apparel_Local_S7,1
Apparel_Local_S7,Sales_US_NY_L,IN:mom:Factory_Local_ES:Apparel_Local_S7,1
Apparel_Local_S8,Sales_US_TX_L,IN:mom:Factory_Local_ES:Apparel_Local_S8,1
Apparel_Local_S8,Sales_US_CA_L,IN:mom:Factory_Local_ES:Apparel_Local_S8,1
Apparel_Local_S8,Sales_US_NY_L,IN:mom:Factory_Local_ES:Apparel_Local_S8,1
