supplier_node,product_id,week,purchase_price,currency
Fabric_CN,Apparel_Import_S1,2026-W01,0.0,USD
Factory_Import_CN,Apparel_Import_S1,2026-W01,19.0,USD
Fabric_CN,Apparel_Import_S2,2026-W01,0.0,USD
Factory_Import_CN,Apparel_Import_S2,2026-W01,19.0,USD
Fabric_CN,Apparel_Import_S3,2026-W01,0.0,USD
Factory_Import_CN,Apparel_Import_S3,2026-W01,19.0,USD
Fabric_CN,Apparel_Import_S4,2026-W01,0.0,USD
Factory_Import_CN,Apparel_Import_S4,2026-W01,19.0,USD
Fabric_CN,Apparel_Import_S5,2026-W01,0.0,USD
Factory_Import_CN,Apparel_Import_S5,2026-W01,19.0,USD
Fabric_CN,Apparel_Import_S6,2026-W01,0.0,USD
Factory_Import_CN,Apparel_Import_S6,2026-W01,19.0,USD
Fabric_CN,Apparel_Import_S7,2026-W01,0.0,USD
Factory_Import_CN,Apparel_Import_S7,2026-W01,19.0,USD
Fabric_CN,Apparel_Import_S8,2026-W01,0.0,USD
Factory_Import_CN,Apparel_Import_S8,2026-W01,19.0,USD
Fabric_ES,Apparel_Local_S1,2026-W01,7.0,USD
Factory_Local_ES,Apparel_Local_S1,2026-W01,17.0,USD
Fabric_ES,Apparel_Local_S2,2026-W01,7.0,USD
Factory_Local_ES,Apparel_Local_S2,2026-W01,17.0,USD
Fabric_ES,Apparel_Local_S3,2026-W01,7.0,USD
Factory_Local_ES,Apparel_Local_S3,2026-W01,17.0,USD
Fabric_ES,Apparel_Local_S4,2026-W01,7.0,USD
Factory_Local_ES,Apparel_Local_S4,2026-W01,17.0,USD
Fabric_ES,Apparel_Local_S5,2026-W01,7.0,USD
Factory_Local_ES,Apparel_Local_S5,2026-W01,17.0,USD
Fabric_ES,Apparel_Local_S6,2026-W01,7.0,USD
Factory_Local_ES,Apparel_Local_S6,2026-W01,17.0,USD
Fabric_ES,Apparel_Local_S7,2026-W01,7.0,USD
Factory_Local_ES,Apparel_Local_S7,2026-W01,17.0,USD
Fabric_ES,Apparel_Local_S8,2026-W01,7.0,USD
Factory_Local_ES,Apparel_Local_S8,2026-W01,17.0,USD
