node_id,node_name,node_type,lat,lon,sku_id,region,description
SP_Cookie_Import,SP_Cookie_Import（輸入調達本部）,procurement,33.9197,136.063,,JP,Cookie_Import Supply Point 仮想ブリッジノード
Factory_GP_CN,北京クッキー工場（Global_Player）,mother_plant,40.7996,116.2778,Cookie_Import,CN,Beijing Cookie Factory — PUSH輸出起点
Ingredients_CN,原料調達（中国）,sku_supplier,38.3944,117.8634,Cookie_Import,CN,小麦粉・カカオ・砂糖 中国内調達
DC_Import_Buffer,輸入保税倉庫（横浜港）,region_dc,36.0798,138.8549,,JP,LT5週輸入バッファ Decoupling Point
DC_Import_Main,国内配送センター（東京）,region_dc,36.5052,139.4278,,JP,国内向け二次DC
SP_Cookie_Local,SP_Cookie_Local（国内調達本部）,procurement,36.0248,138.5521,,JP,Cookie_Local Supply Point 仮想ブリッジノード
Factory_DP_JP,国内クッキー工場（Domestic_Player）,mother_plant,36.5888,140.3968,Cookie_Local,JP,Saitama Factory — PULL生産起点
Ingredients_JP,原料調達（国内）,sku_supplier,36.8854,140.2055,Cookie_Local,JP,小麦粉・植物油脂 国内調達
DC_Local_JP,Domestic_Player DC（パン便相乗り）,region_dc,34.8335,140.0135,,JP,パン配送ルート活用・超短LT DC
Retail_JP_CVS,コンビニ チャネル,marketing,36.5714,139.7749,,CVS,全国コンビニ（セブン・ファミマ等）
Retail_JP_SM,スーパー チャネル,marketing,36.5488,140.0241,,SM,全国スーパー・量販店
Retail_JP_EC,EC・ドラッグ チャネル,marketing,36.0454,138.7443,,EC,EC通販・ドラッグストア
