node_id,product_id,profit_zone_role,country
WaferFab_TW,SmartXPro,SUPPLIER_COST_BASE,TW
SensorIN,SmartXPro,SUPPLIER_COST_BASE,IN
FoundryTW,SmartXPro,MOM_PLANT_PROFIT,TW
AssemblyCN,SmartXPro,MOM_PLANT_PROFIT,CN
AssemblyIN,SmartXPro,MOM_PLANT_PROFIT,IN
SP_SmartXPro,SmartXPro,OPERATION_NODE_COST_BASE,CN
DC_AMER,SmartXPro,OPERATION_NODE_COST_BASE,US
DC_EMEA,SmartXPro,OPERATION_NODE_COST_BASE,NL
DC_APAC,SmartXPro,OPERATION_NODE_COST_BASE,SG
Retail_AMER,SmartXPro,OUTBOUND_CHANNEL_PROFIT,US
Retail_EMEA,SmartXPro,OUTBOUND_CHANNEL_PROFIT,EU
Retail_APAC,SmartXPro,OUTBOUND_CHANNEL_PROFIT,SG
WaferFab_TW_g1,SmartX,SUPPLIER_COST_BASE,TW
FoundryTW_g1,SmartX,MOM_PLANT_PROFIT,TW
AssemblyCN_g1,SmartX,MOM_PLANT_PROFIT,CN
SP_SmartX,SmartX,OPERATION_NODE_COST_BASE,CN
DC_AMER_g1,SmartX,OPERATION_NODE_COST_BASE,US
DC_EMEA_g1,SmartX,OPERATION_NODE_COST_BASE,NL
DC_APAC_g1,SmartX,OPERATION_NODE_COST_BASE,SG
Retail_AMER_g1,SmartX,OUTBOUND_CHANNEL_PROFIT,US
Retail_EMEA_g1,SmartX,OUTBOUND_CHANNEL_PROFIT,EU
Retail_APAC_g1,SmartX,OUTBOUND_CHANNEL_PROFIT,SG
WaferFab_TW_g3,SmartXNext,SUPPLIER_COST_BASE,TW
FoundryTW_g3,SmartXNext,MOM_PLANT_PROFIT,TW
AssemblyCN_g3,SmartXNext,MOM_PLANT_PROFIT,CN
SP_SmartXNext,SmartXNext,OPERATION_NODE_COST_BASE,CN
DC_AMER_g3,SmartXNext,OPERATION_NODE_COST_BASE,US
DC_EMEA_g3,SmartXNext,OPERATION_NODE_COST_BASE,NL
DC_APAC_g3,SmartXNext,OPERATION_NODE_COST_BASE,SG
Retail_AMER_g3,SmartXNext,OUTBOUND_CHANNEL_PROFIT,US
Retail_EMEA_g3,SmartXNext,OUTBOUND_CHANNEL_PROFIT,EU
Retail_APAC_g3,SmartXNext,OUTBOUND_CHANNEL_PROFIT,SG
SP_SmartXPro,SmartXPro,OPERATION_NODE_COST_BASE,CN
SP_SmartX,SmartX,OPERATION_NODE_COST_BASE,CN
SP_SmartXNext,SmartXNext,OPERATION_NODE_COST_BASE,CN
